label,message
spam,URGENT! You have won a £1000 cash prize. Call now to claim your award
spam,Free entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward
spam,You have 1 new voicemail. Please call 08719181503 to retrieve message
spam,Had your mobile 11 months or more? Update to the latest colour mobiles for FREE
spam,SIX chances to win CASH. From 100 to 20,000 pounds txt CSH11 to 87575
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw
spam,URGENT! Your mobile number has been awarded 2000 Bonus Caller Points
spam,Send OTP immediately to avoid account suspension. Your account is at risk
spam,Dear customer your SBI account will be blocked. Share OTP to unlock
spam,HDFC Bank: KYC update required immediately or account will be suspended
spam,Congratulations! You have been selected for UPI cashback of Rs 50000
spam,Your Aadhaar linked account needs immediate verification. Click link
spam,Income tax notice pending against PAN. Pay immediately or face arrest
spam,RBI alert: your account frozen due to suspicious activity. Call now
spam,You have won the lucky draw. Send your bank details to claim prize
spam,Free recharge offer claim before midnight. Send OTP to 9876543210
spam,Account suspended! Update KYC at http://sbi-kyc.xyz immediately
spam,TRAI: Your SIM will be deactivated in 24 hours. Verify now
spam,We have detected unusual login. Confirm OTP sent to your mobile
ham,Hey what time is the meeting tomorrow
ham,Can you pick up milk on your way home
ham,I will be there in 10 minutes
ham,Thanks for the update will review and get back to you
ham,Your Swiggy order is out for delivery
ham,Reminder your appointment is scheduled for 3pm tomorrow
ham,Happy birthday hope you have a great day
ham,The document has been shared with you on Google Drive
ham,Team lunch at 1pm today conference room 2
ham,Please review the attached report when you get a chance
ham,Flight PNR confirmed departure at 6am from Mumbai
ham,Your Amazon order has been shipped tracking number below
ham,Meeting rescheduled to Thursday same time
ham,Good morning hope you slept well
ham,Can we catch up later today or tomorrow
